name,tweet,date,like,retweet
sask_farmer,RT @ZubyMusic: There are certain images that just sum up 'the pandemic' more than any words can. 😐 https://t.co/riIGeUlHuw,2022-03-23 03:40:11+00:00,0,5807
Perfect_Rican,"RT @scorbuny: wait the fuck? GDQ is seriously doing an in-person event now?

can we stop fucking pretending the current pandemic is over

n…",2022-03-23 03:40:11+00:00,0,19
MerissaHansen17,@aylin_odamis @AdrianGarciaHTX It’s a shame he won’t do anything about the crime pandemic happening here. https://t.co/gqzjSRaY03,2022-03-23 03:40:09+00:00,0,0
bibongtsubibo,2 years into the pandemic. I am doomed pa rin. Also hello sa 0% acts of service hahaha https://t.co/qvgiAPuGm3 https://t.co/L120TRdRsy,2022-03-23 03:40:08+00:00,5,0
donutochii,RT @mave_nicegirl: “DonBelle’s success has proven that love will shine amidst the pandemic.”💕💕💕 https://t.co/LIJW8WKQRj,2022-03-23 03:40:06+00:00,0,1161
manilabulletin,"The government’s pandemic task force has approved the proposal to accept and recognize the Covid-19 vaccine certificates of Bulgaria, Iran, and Panama as sufficient proof of vaccination for several purposes, including entry to the country.

READ: https://t.co/fkybakPreW https://t.co/0QRV0P3HCt",2022-03-23 03:40:05+00:00,5,0
hinz_tamara,"@calculated2atee @Merz @DrLeanaWen @HelenFa92229708 @denise_dewald Child psychiatrist here 🙋🏻‍♀️
Masking is so far down the list of pandemic related concerns of kids that I treat that I don’t think it would even make the top 10.
School disruptions, deaths of relatives, worries about getting sick, mourning cancelled activities all rank far higher.",2022-03-23 03:40:03+00:00,8,0
NelsonL95774761,"RT @Laurie_Garrett: ""2 years into the #pandemic studies of the underlying mechs of #COVID19 pathogenesis remain scarce. To understand the m…",2022-03-23 03:40:01+00:00,0,105
NewsReader604,Is the pandemic still going on? It's not rocket science. https://t.co/uYZT1neqNi,2022-03-23 03:40:01+00:00,3,0
watinthe_,"RT @_mbdr_: Wrong. Now, leaders declare the pandemic over mainly due to boredom. This worsens covid in at least 2 ways:
1. Increase transmi…",2022-03-23 03:40:00+00:00,0,15
witchbrew_,Miss those time when I got better men offline than online🤣🤣🤣🤣🤣 pandemic really,2022-03-23 03:39:53+00:00,0,0
IAmTheStorm__,RT @ShellenbergerMD: Overdependence on unreliable energies isn’t the only reason for energy shortages. Post-pandemic economic recovery resu…,2022-03-23 03:39:52+00:00,0,252
jenn02837355,RT @MerissaHansen17: This is what the crime pandemic has done to a minority family. This man was shot and then his daughter was shot a year…,2022-03-23 03:39:51+00:00,0,94
CKdoeswork,"@GrumpyKelson @Arrianna_Planey Yeah, for us as the strains of pandemic childcare have waned, my parents have had health issues and the distance is now a problem for me trying to help them get the care they need.",2022-03-23 03:39:49+00:00,1,0
BrankaSlavica,The pandemic revived reading https://t.co/I4XIMWnzh8,2022-03-23 03:39:49+00:00,2,1
patdmd,"RT @TaviCosta: We just saw the largest issuance of US Treasuries since the pandemic recession &amp; global financial crisis.

Almost $850B just…",2022-03-23 03:39:48+00:00,0,276
LaTriSarahtops,@regularjoe65 @MattSidor @mobleywho Corporatized modern ed has been failing many kids long before the pandemic. But the pandemic has certainly turned the volume up on those failures. Heartbreaking.,2022-03-23 03:39:47+00:00,8,0
HamishMack,RT @kevorkian82: I'm so glad that people who did absolutely nothing to help during this pandemic will feel vindicated by some of these chan…,2022-03-23 03:39:47+00:00,0,115
Shitkicker14,@markbabb15 @trezork @tolear1158 @WilliamIsYoung_ @Timcast Oh you mean during the pandemic when no one was working made worse when sleepy joe got into office 🤦‍♂️🤣,2022-03-23 03:39:44+00:00,0,0
wewix,@GOP Trump...the Republican...made a deal to cut gas production because prices were too low during the pandemic.,2022-03-23 03:39:43+00:00,0,0
Pharniel,RT @JenniferJokes: I used to say “what the hell are you guys doing we are in the middle of a pandemic” but actually we are still at the beg…,2022-03-23 03:39:43+00:00,0,16
stewak2,"RT @EricTopol: Covid ICU hospitalizations are already at the US pandemic low. With another decline of 700 hospitalizations today, and accou…",2022-03-23 03:39:40+00:00,0,530
ruadhbran,"RT @marygkosta: Working during the flu pandemic of 1918. Notice anything?

#COVIDisAirborne 

photos via National Archives https://t.co/VKl…",2022-03-23 03:39:40+00:00,0,5
sgnewssxoxo,@PopCrave Pandemic is coming back,2022-03-23 03:39:35+00:00,0,0
Gear316,"@callahan_is @AdamColePro I like both AEW and WWE. It would be better if the former has more TV programming, while the latter's massive cuts during the pandemic have been very upsetting.",2022-03-23 03:39:35+00:00,0,0
xovcoxx,RT @NahImNotDecent: Arguing for the right to smash someone who was in high school during the pandemic is diabolical.,2022-03-23 03:39:35+00:00,0,2691
KickJamesTSC,LA is still in 2020 riot pandemic mode,2022-03-23 03:39:34+00:00,1,0
tova3411,"RT @VABVOX: 🔹Hillary Clinton
🔹Sen. Bob Casey (D-PA)
🔹Jen Psaki 
All were diagnosed with COVID today, so maybe the pandemic isn't actually o…",2022-03-23 03:39:32+00:00,0,270
risahoshinoMD,"The gaslighting is working. My patients have been asking me if masking really works and whether the pandemic is actually over.

Don’t let them gaslight you. You are doing the right thing by masking and boosting. You’re saving lives. I’m so proud of you. ❤️",2022-03-23 03:39:32+00:00,723,115
scottespana10,RT @Youraccounthas6: @Theolistens @BryanACPastor 100%. I've said the same with the 'pandemic'. The very fact people are debating whether or…,2022-03-23 03:39:30+00:00,0,41
kcmohondro,"RT @VABVOX: 🔹Hillary Clinton
🔹Sen. Bob Casey (D-PA)
🔹Jen Psaki 
All were diagnosed with COVID today, so maybe the pandemic isn't actually o…",2022-03-23 03:39:25+00:00,0,270
KKoolyk,RT @dean_a_1984: How to make a pandemic in 7 easy steps. https://t.co/YSc2F9RKEV,2022-03-23 03:39:24+00:00,0,283
RoniWij75482601,RT @mikekwaltv: Watch this if you're opening a new store during the pandemic #learnwithtwitter #localbusiness https://t.co/UEf83eVGAy,2022-03-23 03:39:22+00:00,0,1
maskupsweden,"RT @ArneGbg: @risahoshinoMD In Sweden, we are not vaccinating kids below 12. No protests from parents. Most think the pandemic is over. Als…",2022-03-23 03:39:22+00:00,0,8
PSobleskie,RT @SecCardona: We can’t look at mental well-being as an add-on. We need to make it the foundation of pandemic support &amp; recovery. This is…,2022-03-23 03:39:20+00:00,0,163
11bkjimena,RT @CTVNews: New Zealand to remove pandemic mandates as Omicron wanes https://t.co/VdwSIhV2Ly https://t.co/4bUJYe4Tqn,2022-03-23 03:39:19+00:00,0,4
seanburke1888,@Cdoglover1 @JuliaDixon84 @MarkMcGowanMP Would you not think a deadly pandemic would be visible in daily life?,2022-03-23 03:39:17+00:00,2,0
aapkiBina,"The free ration scheme of the Central and state governments was a gamechanger for the BJP as families struggled through a pandemic that led to the loss of lives and jobs.
#आ_गए_भगवाधारी https://t.co/g0vU7bKINo",2022-03-23 03:39:17+00:00,0,2
Meidas_Junkie,"RT @VicGovDH: Throughout the pandemic, our kids have given up a lot to keep their families, schools and communities safe from coronavirus.…",2022-03-23 03:39:17+00:00,0,34
andreajnz,RT @kevorkian82: I'm so glad that people who did absolutely nothing to help during this pandemic will feel vindicated by some of these chan…,2022-03-23 03:39:16+00:00,0,115
